,g1_symbol,g2_symbol,conn
0,HES4,ENO1,0.4076
1,HES4,CNN3,0.4134
2,HES4,PEA15,0.4452
3,HES4,MGST3,0.4911
4,HES4,PDIA6,0.3917
5,HES4,PPP1CB,0.391
6,HES4,POLE4,0.4129
7,HES4,FAM171B,0.4423
8,HES4,ITM2C,0.4162
9,HES4,KIF1A,0.4088
10,HES4,MAP4,0.4139
11,HES4,RHOA,0.4081
12,HES4,TKT,0.4215
13,HES4,ARL6IP5,0.4339
14,HES4,UCHL1,0.4076
15,HES4,SCOC,0.3919
16,HES4,MSMO1,0.4132
17,HES4,HMGCS1,0.4279
18,HES4,LINC00461,0.4092
19,HES4,PJA2,0.4207
20,HES4,APC,0.414
21,HES4,REEP5,0.4145
22,HES4,CANX,0.4659
23,HES4,TUBB2B,0.3921
24,HES4,HSP90AB1,0.4261
25,HES4,FABP7,0.4013
26,HES4,PCMT1,0.4027
27,HES4,AKAP12,0.4263
28,HES4,MPC1,0.4003
29,HES4,SCRN1,0.407
30,HES4,SEPT7,0.4779
31,HES4,FAM3C,0.4083
32,HES4,PTN,0.4043
33,HES4,RHEB,0.4787
34,HES4,CLU,0.4285
35,HES4,SDCBP,0.4124
36,HES4,YWHAZ,0.3969
37,HES4,LY6H,0.4055
38,HES4,DNAJA1,0.3904
39,HES4,PSAT1,0.4061
40,HES4,TXN,0.4581
41,HES4,HSPA5,0.4059
42,HES4,DKK3,0.3893
43,HES4,FTH1,0.5069
44,HES4,RTN3,0.4517
45,HES4,FEZ1,0.4811
46,HES4,IDI1,0.4113
47,HES4,VIM,0.4069
48,HES4,PSAP,0.4492
49,HES4,PGAM1,0.4175
50,HES4,SCD,0.4677
51,HES4,OAT,0.4116
52,HES4,BNIP3,0.4025
53,HES4,GAPDH,0.447
54,HES4,TPI1,0.4116
55,HES4,CD63,0.4539
56,HES4,HSP90B1,0.4226
57,HES4,DYNLL1,0.4276
58,HES4,ITM2B,0.451
59,HES4,ARHGAP5,0.4083
60,HES4,CALM1,0.438
61,HES4,CKB,0.4216
62,HES4,RPLP1,0.3937
63,HES4,ALDOA,0.4242
64,HES4,NDRG4,0.4081
65,HES4,ATP1B2,0.4041
66,HES4,EIF1,0.479
67,HES4,CLTC,0.3939
68,HES4,TIMP2,0.4216
