,g1_symbol,g2_symbol,conn
0,A1BG,ANXA7,0.1080838938865498
29,A2M,ANXA7,0.1080838938865498
3014,ACTB,ANXA7,0.1080838938865498
12454,ANGPT2,ANXA7,0.1080838938865498
13850,ANXA4,ANXA7,0.4201912082140011
1,A1BG,ABCC6,0.1080838938865498
35,A2M,ABCC6,0.2511404985285161
9363,AK2,ABCC6,0.1080838938865498
10583,ALDH1A1,ABCC6,0.2511404985285161
10734,ALDH1B1,ABCC6,0.2511404985285161
2,A1BG,CDKN1A,0.1080838938865498
51,A2M,CDKN1A,0.1080838938865498
846,ABL1,CDKN1A,0.6833518434193775
1237,ABR,CDKN1A,0.2511404985285161
3046,ACTB,CDKN1A,0.1080838938865498
6265,PARP1,CDKN1A,0.9607781857188982
9614,AKT1,CDKN1A,0.996649721604437
10041,AKT2,CDKN1A,0.2511404985285161
10143,ALAS1,CDKN1A,0.1080838938865498
12455,ANGPT2,CDKN1A,0.1080838938865498
17981,APLP1,CDKN1A,0.1080838938865498
18819,APP,CDKN1A,0.6116250705376904
29279,ATP5F1B,CDKN1A,0.1080838938865498
30584,ATP6V1A,CDKN1A,0.1080838938865498
32774,BAD,CDKN1A,0.1080838938865498
33905,CCND1,CDKN1A,0.999999999999932
41126,VPS51,CDKN1A,0.1080838938865498
44337,CAMK2D,CDKN1A,0.2511404985285161
46564,CASP3,CDKN1A,0.9999555233458816
49254,CCNA2,CDKN1A,0.9999999944954464
49382,CCNB1,CDKN1A,0.9999895681945312
49682,CCND2,CDKN1A,0.9999999199437744
49806,CCND3,CDKN1A,0.9999999984584
49876,CCNE1,CDKN1A,0.9999999999622496
53322,CDK1,CDKN1A,0.999859052832387
53759,CDC5L,CDKN1A,0.4303822456225362
54677,CDC6,CDKN1A,0.924359841230922
54746,CDC20,CDKN1A,0.8391373307244893
55252,CDC27,CDKN1A,0.2511404985285161
57145,CDK2,CDKN1A,1.0
57790,CDK3,CDKN1A,0.9766268257939756
57851,CDK4,CDKN1A,0.9999999999999174
58074,CDK5,CDKN1A,0.9970038016960644
